PuzzleId,FEN,Moves,Rating,ThemeList
1Q6Ab,7k/1pb3pp/p1p2n2/3p1Nq1/1P6/3Q1P1P/P2B2P1/6K1 b - - 2 33,c7f4 h3h4 g5g6 d2f4,1871,"[""advantage"", ""endgame"", ""short""]"
vRJYj,2rr2k1/1p1n1pp1/5p1p/pB1P4/Pb1Rq3/4BN1P/QP3PP1/6K1 b - - 4 21,e4f5 b5d3 f5h5 d4h4 h5h4 f3h4,1935,"[""advantage"", ""long"", ""middlegame"", ""trappedPiece""]"
obZuq,2r1kb1r/1p3ppp/2q1pn2/1N1p1b2/Q2P1B2/4P3/PP3PPP/R4RK1 b k - 1 15,f8e7 a1c1 e8g8 c1c6,2019,"[""advantage"", ""master"", ""middlegame"", ""short""]"
p5yy4,8/1p3p2/3kb3/P3p1p1/3pPqPp/nr1P1P1P/5QB1/1RR4K w - - 3 31,b1b3 f4c1 f2g1 c1g1 h1g1 e6b3,1226,"[""crushing"", ""exposedKing"", ""hangingPiece"", ""long"", ""middlegame""]"
XhSir,2kr3r/ppp2R1b/4p3/3pB3/1P4pb/P1N1n3/R3P1B1/6K1 b - - 0 21,h8f8 f7c7 c8b8 c7h7,1499,"[""crushing"", ""discoveredAttack"", ""discoveredCheck"", ""fork"", ""middlegame"", ""short""]"
j9IlZ,1r6/3B4/2Pk2pN/5p2/3p4/1K1P4/2P2PN1/4b2R w - - 1 41,b3c4 b8b4,781,"[""endgame"", ""mate"", ""mateIn1"", ""oneMove"", ""operaMate""]"
b9Azk,r3k2r/pp3ppp/4b3/3pPp2/1B6/1P4P1/P1Q2P1P/qN3RK1 b kq - 2 15,a1e5 c2c5 e6d7 f1e1 e5e1 b4e1,2094,"[""advantage"", ""long"", ""middlegame"", ""pin""]"
KgCR6,8/Qb2r1k1/4P1p1/p7/1p3Nq1/1P6/P5PP/5RK1 w - - 2 33,f4d5 g4g2 g1g2 b7d5 g2g3 e7a7,1801,"[""attraction"", ""crushing"", ""discoveredAttack"", ""endgame"", ""long"", ""sacrifice""]"
7Ysqj,8/pK6/1p3kP1/1P6/2P1B3/2b5/7p/8 b - - 2 45,f6e5 g6g7 e5e4 g7g8q,983,"[""advancedPawn"", ""bishopEndgame"", ""crushing"", ""endgame"", ""promotion"", ""short""]"
XOE2z,5Rk1/5p1p/1p6/p1p1R1B1/2p5/2q3P1/P1P2P1P/6K1 b - - 0 22,g8f8 g5h6 f8g8 e5e8,1471,"[""endgame"", ""mate"", ""mateIn2"", ""pillsburysMate"", ""short""]"
0FO0N,1r4k1/5p1p/2pPp1p1/B2p2P1/2nP4/7P/5P2/2R3K1 w - - 2 35,c1c4 d5c4 d6d7 c4c3 a5c3 b8d8,1668,"[""advantage"", ""endgame"", ""hangingPiece"", ""long""]"
gtyPr,8/pB6/8/1Pp1n1p1/2P2k2/8/3K1P2/8 w - - 15 55,d2c3 e5g4 c3d2 g4f2,1861,"[""crushing"", ""endgame"", ""master"", ""short"", ""superGM""]"
W6VPi,1R6/7P/8/8/r7/k4qPK/5P2/8 w - - 1 49,h7h8q f3h1,1283,"[""endgame"", ""mate"", ""mateIn1"", ""oneMove""]"
DlgXs,8/5kp1/7p/P1p5/3p4/1p2r2P/1PP3P1/R6K w - - 0 33,a5a6 b3c2 a6a7 e3e8,1623,"[""advancedPawn"", ""crushing"", ""defensiveMove"", ""endgame"", ""master"", ""rookEndgame"", ""short""]"
CjAhv,rn1qkb1r/pbpp1pp1/1p2p3/8/4P1p1/2NP1N2/PPP1BPP1/R1BQ1RK1 w kq - 0 9,c1g5 f8e7 g5e7 d8e7,2339,"[""advantage"", ""opening"", ""short""]"
KJDJx,6k1/ppp1qpr1/2n2b2/4p2Q/4P1N1/2P5/PP3P2/3BK1R1 b - - 2 27,g8f8 h5h8 g7g8 h8g8 f8g8 g4f6 g8h8 g1g8,2079,"[""arabianMate"", ""attraction"", ""discoveredCheck"", ""doubleCheck"", ""master"", ""mate"", ""mateIn4"", ""middlegame"", ""veryLong""]"
vEsjO,r2qkbnr/ppp4p/2np1p2/4N1p1/2BPPpbP/2N5/PPP3P1/R1BQK2R b KQkq - 1 8,g4d1 c4f7 e8e7 c3d5,1336,"[""mate"", ""mateIn2"", ""middlegame"", ""short""]"
jwQhY,6k1/2pNp1P1/p1b1P3/1r4B1/1n5P/1P6/P4R1K/8 w - - 0 42,h4h5 b5g5 h5h6 g5h5 h2g3 h5h6 f2f8 g8g7,1362,"[""advantage"", ""endgame"", ""exposedKing"", ""hangingPiece"", ""veryLong""]"
tGrFA,8/1p6/p1p3p1/3p2kp/P2PP3/1P3KPP/8/8 b - - 0 35,d5e4 f3e4 h5h4 g3g4 g5f6 a4a5,2493,"[""crushing"", ""defensiveMove"", ""endgame"", ""long"", ""pawnEndgame"", ""quietMove""]"
O2B6L,6k1/2q2p2/2P1p1p1/1pR1P2p/1P1p1P2/3QnNP1/r6P/3K4 w - - 11 40,d1c1 a2a1 c1d2 a1d1 d2e2 d1d3,1568,"[""crushing"", ""endgame"", ""exposedKing"", ""long"", ""master"", ""queensideAttack"", ""skewer""]"
ytoSK,8/ppr2p1k/3p1Qp1/q2P1RPp/r6P/2P5/PP5N/K2R4 w - - 1 28,a2a3 a4a3 b2a3 a5a3 a1b1 a3b3 b1c1 c7c3 f6c3 b3c3,1540,"[""crushing"", ""fork"", ""middlegame"", ""sacrifice"", ""veryLong""]"
XRcoP,1q6/2R4p/6pk/5p2/4p1PP/4P2K/1rR2P2/8 b - - 0 46,b2c2 g4g5 h6h5 c7h7,1181,"[""deflection"", ""endgame"", ""mate"", ""mateIn2"", ""queenRookEndgame"", ""short""]"
4mnjI,r1b1k2r/ppq2pp1/4pn2/3p2P1/8/2PB1N2/PP4PP/2RQ1R1K b kq - 0 15,f6g4 d1a4 c8d7 a4g4,1881,"[""crushing"", ""fork"", ""middlegame"", ""short""]"
NcJmh,2r3k1/p4pp1/8/6Q1/2Pn4/8/P4PPR/1q2NK2 w - - 4 23,g5d2 c8e8 h2h3 d4c2,2090,"[""crushing"", ""endgame"", ""master"", ""masterVsMaster"", ""short""]"
aKB1N,8/p1P3R1/4k3/5p2/5p2/1P3Pp1/P2K4/2r5 b - - 10 58,c1c6 g7g6 e6d5 g6c6,875,"[""crushing"", ""endgame"", ""master"", ""rookEndgame"", ""short""]"
Wf66L,5rrk/1pp1p2p/1n1bq3/3p4/p2P3N/2P4P/PPQ1BPP1/3R2RK w - - 2 31,e2g4 g8g4 h3g4 e6g4,1180,"[""advantage"", ""middlegame"", ""short""]"
bQjt1,r1bq1rk1/pp2p1bN/3n1nP1/2pPpp2/2P5/2NB4/PP4P1/R1BQK2R b KQ - 3 16,f6h7 h1h7 f8f6 d1h5 f6g6 h5g6,2017,"[""crushing"", ""long"", ""master"", ""opening""]"
BTvqC,rnbqk2r/pp3ppp/4p3/4N3/1pPPp3/4P3/PP3PPP/R2QKB1R b KQkq - 1 9,f7f6 d1h5 g7g6 e5g6 h7g6 h5h8,1636,"[""advantage"", ""long"", ""middlegame""]"
KKWIy,1B6/p5p1/5k2/8/2P3p1/5p2/PPP2b2/1K3B2 w - - 2 33,c4c5 g4g3 b8g3 f2g3,1654,"[""advantage"", ""bishopEndgame"", ""endgame"", ""master"", ""short""]"
aXdaC,4r3/1pp4k/p4bpp/3P4/4q2P/2P2Qn1/PP2pRK1/2B1R3 w - - 0 29,g2g3 f6h4 g3g2 e4f3 g2f3 e8f8,2334,"[""advantage"", ""attraction"", ""long"", ""middlegame""]"
v0dGp,r4rk1/1p3pbp/p2p1np1/P2PpB2/2q5/1nN1BP2/1P1QN1PP/R3K2R w KQ - 1 17,d2d3 c4d3 f5d3 b3a1,1329,"[""advantage"", ""master"", ""middlegame"", ""short""]"
rBfoy,r3k2r/1pqn1pb1/p3p3/3n4/3p2p1/1P1B1NP1/PB2QP1P/1K1R3R w kq - 0 18,f3d4 d5c3 b2c3 c7c3,1679,"[""crushing"", ""fork"", ""master"", ""middlegame"", ""short""]"
M3dzw,8/8/5p2/5k2/5P1p/4K2P/8/8 b - - 1 50,f5g6 e3e4 g6f7 e4f5 f7g7 f5g4 g7g6 f4f5,2637,"[""crushing"", ""endgame"", ""pawnEndgame"", ""veryLong"", ""zugzwang""]"
tLFQS,8/pp4k1/2p1p1p1/6P1/1PR5/P3nN2/2P1r1PK/8 w - - 1 33,c4e4 e3f1 h2g1 e2e4,1640,"[""advantage"", ""discoveredAttack"", ""endgame"", ""short""]"
DieWv,8/8/6p1/1p4k1/1P3q2/P1P3pP/4Q1K1/8 w - - 4 48,e2f3 f4f3 g2f3 g5h4 f3g2 g6g5 a3a4 b5a4,1781,"[""crushing"", ""endgame"", ""master"", ""queenEndgame"", ""quietMove"", ""veryLong""]"
wyiM7,8/8/p3p3/1p1p2k1/1P1PP3/P4K2/8/8 b - - 0 55,g5g6 e4d5 e6d5 f3g4,2190,"[""crushing"", ""defensiveMove"", ""endgame"", ""master"", ""pawnEndgame"", ""short"", ""zugzwang""]"
EvRAf,1R6/7p/8/6PP/5P2/2r5/1pk3K1/8 b - - 0 47,b2b1q b8b1 c2b1 g5g6 h7g6 h5g6,1674,"[""advantage"", ""endgame"", ""long""]"
2i7Ol,r2r2k1/pp3ppp/8/3qpb2/8/1NPn4/PP2BPPP/R2Q1RK1 w - - 1 15,d1d2 d3f4 d2d5 f4e2 g1h1 d8d5,1856,"[""crushing"", ""intermezzo"", ""kingsideAttack"", ""long"", ""middlegame"", ""sacrifice""]"
lttKa,8/2R5/3Npk1p/5p2/1r5P/4K3/8/8 b - - 2 40,b4h4 d6e8 f6g6 c7g7 g6h5 e8f6,1702,"[""cornerMate"", ""endgame"", ""long"", ""master"", ""mate"", ""mateIn3""]"
2hACP,4r3/7n/1p3k1P/pP1p1N2/P1pP1K2/2P5/8/7R w - - 7 49,h1g1 e8e4 f4f3 f6f5,1535,"[""crushing"", ""deflection"", ""endgame"", ""master"", ""short""]"
TBO4V,8/1K6/8/3Q3p/7P/8/6q1/7k w - - 16 61,d5c6 h1h2 b7b6 g2c6,2269,"[""crushing"", ""endgame"", ""queenEndgame"", ""short""]"
CNC4L,8/8/p2N1P2/2pPp2k/2P4P/pn2K3/8/1n6 b - - 0 48,h5g6 f6f7 g6g7 h4h5 a3a2 h5h6 g7g6 f7f8q,1989,"[""advancedPawn"", ""crushing"", ""deflection"", ""endgame"", ""exposedKing"", ""knightEndgame"", ""promotion"", ""quietMove"", ""veryLong""]"
dKhIT,8/p7/8/5K1p/8/8/1k4PP/8 w - - 1 45,f5g5 a7a5 g5h5 a5a4 g2g4 a4a3 g4g5 a3a2 g5g6 a2a1q,1037,"[""advancedPawn"", ""crushing"", ""endgame"", ""pawnEndgame"", ""promotion"", ""quietMove"", ""veryLong""]"
fAFX5,8/8/3N1k2/1P1P4/4Ppn1/8/P2n4/7K w - - 1 47,b5b6 f4f3 d6f5 d2e4 b6b7 f3f2 h1g2 f6f5 b7b8q g4e3,2395,"[""advancedPawn"", ""crushing"", ""endgame"", ""knightEndgame"", ""veryLong""]"
O6Qo0,4r1k1/1p2rppp/p4n2/4n3/3q4/6PP/PP1NRPQ1/1B2R1K1 w - - 0 22,d2f3 e5f3 g2f3 e7e2 e1e2 d4d1,1419,"[""crushing"", ""discoveredAttack"", ""kingsideAttack"", ""long"", ""master"", ""middlegame""]"
8nucM,r1bqk2r/ppp2ppp/2n2n2/4P3/1bN5/3BPN2/PP3PPP/R1BQK2R w KQkq - 1 9,c1d2 d8d3 e5f6 d3c4 f6g7 h8g8,1898,"[""crushing"", ""hangingPiece"", ""long"", ""opening""]"
g4ECU,2Q5/1R3ppk/Q3p2p/8/8/5P2/r4qPP/3r1B1K w - - 1 30,b7b1 f2g2,1974,"[""mate"", ""mateIn1"", ""middlegame"", ""oneMove"", ""pin""]"
biN7V,6k1/1R2N3/1p3K2/p2p2p1/5n2/2Pr1P2/P7/8 b - - 13 38,g8h8 e7g6 f4g6 f6g6 d3c3 b7b8 c3c8 b8c8,1813,"[""endgame"", ""exposedKing"", ""mate"", ""mateIn4"", ""veryLong""]"
UGacl,1k1q4/p1p2pp1/1p6/2b2QNn/2P2P2/5P2/PP4K1/5R2 w - - 0 26,g5e4 d8h4 e4c5 h5f4 f5f4 h4f4,2004,"[""advantage"", ""endgame"", ""long"", ""sacrifice""]"
WcvMs,5rk1/p3bppp/4pnn1/2p5/5B2/2NP1Q1P/PPP3q1/R3KR2 b Q - 3 15,g2c2 f1f2 g6h4 f3g3,1945,"[""crushing"", ""middlegame"", ""short""]"
tIQAm,2rr2k1/2q1pp1p/p5p1/1p6/6PP/3n1P2/PPP5/2KRRQ2 w - - 0 27,d1d3 c7c2,876,"[""endgame"", ""mate"", ""mateIn1"", ""oneMove"", ""queensideAttack""]"
rRAFP,r3q1k1/p3bpp1/1p5p/3pPB2/6P1/PP2QP2/7P/4R1K1 w - - 1 28,e5e6 e7c5 e3c5 b6c5 e6f7 g8f7,2261,"[""crushing"", ""endgame"", ""long"", ""master"", ""masterVsMaster"", ""pin""]"
VSFUp,3Q4/4ppqk/1p1n2p1/1BpPn2p/2P5/6BP/1P3PP1/6K1 b - - 2 36,d6e4 d8e7 e4g3 f2g3,1759,"[""crushing"", ""endgame"", ""master"", ""short""]"
o2s3N,r3k2r/pp1b1ppp/4p3/q1pp4/1bPPn3/PQN1PN2/1P3PPP/2R1KB1R b Kkq - 2 11,d7a4 a3b4 a4b3 b4a5,1618,"[""crushing"", ""middlegame"", ""short""]"
3SyNC,4B3/8/1p3K2/p1pnp1P1/P3k3/1PP5/8/8 w - - 1 47,f6e6 d5c7 e6f7 c7e8,1308,"[""crushing"", ""endgame"", ""fork"", ""short""]"
KB2ml,r3kb1r/ppq1pppp/2n2n2/1B6/6b1/3P1N2/PPP2PPP/RNBQK2R w KQkq - 1 7,h2h3 g4f3 d1f3 c7e5 c1e3 e5b5,1919,"[""crushing"", ""fork"", ""long"", ""opening""]"
fVm7r,2k1r3/pp5p/4N1p1/3p4/8/1PQ1P1qP/PBP5/3K2b1 b - - 7 30,c8d7 e6c5 d7c8 c5e4 g3c7 e4d6,2008,"[""advantage"", ""discoveredAttack"", ""discoveredCheck"", ""endgame"", ""exposedKing"", ""long"", ""pin""]"
10YU0,5k2/pp3r2/6R1/7K/1PP2p2/8/P7/8 w - - 2 42,g6g1 f7h7 h5g6 h7g7 g6f5 g7g1,1627,"[""crushing"", ""endgame"", ""long"", ""rookEndgame"", ""skewer""]"
Foq59,3k4/8/p3R3/1p6/6p1/1P6/1PP2r2/1K6 w - - 0 35,e6a6 g4g3 a6g6 g3g2 b1a2 b5b4,2178,"[""advancedPawn"", ""crushing"", ""defensiveMove"", ""endgame"", ""long"", ""master"", ""rookEndgame""]"
gso7B,8/5pp1/8/5P2/4K2k/7p/5r2/5N1R b - - 17 50,f2f1 h1f1 h4g3 f1g1 g3f2 g1g7 h3h2 g7h7,2018,"[""crushing"", ""endgame"", ""hangingPiece"", ""rookEndgame"", ""skewer"", ""veryLong""]"
V7YRo,8/1k4p1/8/4p3/4RpP1/2qP1P2/4P1KP/8 b - - 1 45,b7c6 e4c4 c3c4 d3c4,715,"[""crushing"", ""endgame"", ""fork"", ""master"", ""queenRookEndgame"", ""short""]"
qoZEC,1r1q1r1k/p3n1pp/4p3/8/8/P2P1bP1/5PBP/1R1QR1K1 w - - 0 21,g2f3 b8b1 d1b1 f8f3,1390,"[""advantage"", ""middlegame"", ""short""]"
Dd2Ym,r2k1r2/2p1q1pp/4P3/3p4/Q7/3B3P/8/1R1K4 b - - 0 37,a8a4 b1b8,523,"[""endgame"", ""mate"", ""mateIn1"", ""oneMove""]"
dDGwM,4r3/ppp1rpkp/5p2/1b1PnP2/8/1B6/PBP3PP/R3R1K1 w - - 3 23,b2a3 e5f3 g2f3 e7e1 a1e1 e8e1,826,"[""crushing"", ""discoveredAttack"", ""kingsideAttack"", ""long"", ""middlegame""]"
K0OMB,4k3/R7/4K3/3p4/2pP4/2P3r1/8/8 b - - 0 46,g3c3 a7a8,1188,"[""endgame"", ""master"", ""mate"", ""mateIn1"", ""oneMove"", ""rookEndgame""]"
FhB86,Rk1r3r/4RQp1/2pp1p1p/8/5P2/7P/1q4P1/7K b - - 1 36,b8a8 e7a7 a8b8 f7c7,1243,"[""endgame"", ""mate"", ""mateIn2"", ""short"", ""triangleMate""]"
TbgOf,8/8/1p6/p7/P1P5/4K2k/8/8 b - - 1 41,h3g4 e3e4 g4g3 e4d5 g3f2 d5c6 f2e2 c6b6,2008,"[""crushing"", ""endgame"", ""pawnEndgame"", ""veryLong""]"
1GtIU,8/5k2/2p5/p6p/4P2P/3K2B1/3n4/8 b - - 1 49,d2f3 d3e3 f3g1 e3f2 f7e6 f2g1 a5a4 g3f4 a4a3 f4c1 e6e5 c1a3,2766,"[""crushing"", ""endgame"", ""master"", ""masterVsMaster"", ""quietMove"", ""veryLong""]"
Xiydg,5Rk1/5p2/pp3P2/r5Pp/2p5/P1P4P/1PKR4/4q3 b - - 0 32,g8h7 f8f7 h7g6 f7g7 g6f5 f6f7 e1e4 c2c1,1860,"[""advancedPawn"", ""crushing"", ""defensiveMove"", ""endgame"", ""exposedKing"", ""queenRookEndgame"", ""veryLong""]"
ykIck,8/1R6/1k1P4/1b3pp1/1p6/1r4P1/6B1/6K1 b - - 1 45,b6a6 b7b5 a6b5 d6d7 b3g3 d7d8q,2199,"[""advancedPawn"", ""crushing"", ""endgame"", ""long"", ""promotion"", ""sacrifice""]"
jdgIK,r6k/p3R1pB/4nr1p/3p4/8/P3q1PP/2Q3PK/R7 b - - 4 27,e6d4 e7e3 d4c2 h7c2,1941,"[""crushing"", ""middlegame"", ""short""]"
P3S0K,1r4k1/3R1pp1/1b4p1/4R3/1P6/5PPK/P6P/2r5 b - - 4 38,b8d8 d7d8 b6d8 e5e8 g8h7 e8d8,936,"[""crushing"", ""endgame"", ""fork"", ""long""]"
yrAvj,8/1R3pbp/p3p1p1/2rr4/6Pk/P2n4/3Q3P/5RK1 w - - 1 34,d2e3 g7d4 e3d4 d5d4,1121,"[""crushing"", ""middlegame"", ""pin"", ""short""]"
EFTTV,r2q1rk1/1pp1bppp/2np1n2/p2NP3/2Q5/P4N2/1B3PPP/3R1RK1 b - - 0 16,d6e5 d5f6 e7f6 d1d8,1285,"[""advantage"", ""discoveredAttack"", ""kingsideAttack"", ""middlegame"", ""short""]"
GyZ6U,6R1/P3Pk2/8/1pB3p1/1P2r3/6KP/6P1/2q5 w - - 2 42,a7a8q c1f4,1137,"[""endgame"", ""mate"", ""mateIn1"", ""oneMove""]"
5yPGV,4r2k/p5p1/1p5p/3P1Q2/3q1N2/P6P/6PK/8 b - - 6 47,d4e5 f5e5 e8e5 f4g6 h8g8 g6e5,1064,"[""attraction"", ""crushing"", ""endgame"", ""fork"", ""long""]"
xIMgj,r4rk1/pbpp1ppp/1p6/8/7q/1P1PP1b1/PBP1B2P/RN1Q1RK1 w - - 0 13,h2g3 h4g3,1911,"[""kingsideAttack"", ""mate"", ""mateIn1"", ""middlegame"", ""oneMove""]"
B2mbO,r1b1k2r/1pp1nppp/p1np1q2/4p3/2B1P2P/2N1B1Q1/PPP2PP1/2KR3R b kq - 0 11,c8e6 e3g5 e6c4 g5f6,1607,"[""advantage"", ""middlegame"", ""short""]"
tJTJn,8/2p5/K4p2/1Pk2Pp1/8/7P/8/8 w - - 2 57,a6b7 c5b5 b7c7 b5c5,1158,"[""crushing"", ""defensiveMove"", ""endgame"", ""pawnEndgame"", ""short""]"
CnovR,r5k1/pp3ppp/8/2pn1Pq1/8/1P1P3P/PBP1B1P1/3KR2R w - - 7 25,b2c1 d5c3,992,"[""mate"", ""mateIn1"", ""middlegame"", ""oneMove""]"
Q0Tfk,r7/3qbnpk/2p1Np1p/p2pnP2/Br5R/1P1PB1QP/2P3P1/5RK1 b - - 3 27,b4h4 g3g7,1309,"[""mate"", ""mateIn1"", ""middlegame"", ""oneMove""]"
hvdop,8/p1p1rpkp/1p3p2/5B2/3n1PP1/P1R4P/1PP5/2K5 w - - 2 28,f5d3 e7e1 c1d2 d4f3,1165,"[""endgame"", ""mate"", ""mateIn2"", ""short""]"
Kd262,6k1/5ppp/2b1pb2/8/2P5/1P1B3P/r2B1PP1/3R2K1 w - - 1 35,b3b4 c6a4 d3b1 a2b2,1942,"[""advantage"", ""endgame"", ""short""]"
z5XR9,8/p4pkp/1p3qp1/3B4/2Q5/b5P1/2P4P/4R2K w - - 2 26,d5f7 f6f3 h1g1 a3c5 c4c5 b6c5,1349,"[""crushing"", ""endgame"", ""long""]"
d32U2,3R2k1/2Q3pp/2p5/1p2r3/8/4P1PP/n4P1K/1q6 b - - 1 27,e5e8 d8e8,521,"[""endgame"", ""hangingPiece"", ""mate"", ""mateIn1"", ""oneMove""]"
Ed2ki,8/8/P1R2p2/1n1p4/3Pk3/8/3K4/8 w - - 5 61,d2c2 b5d4 c2b2 d4c6 a6a7 c6a7,1008,"[""crushing"", ""endgame"", ""fork"", ""long""]"
Toszz,8/8/p1nkp3/Pp3p1p/n3PP1P/PN2K3/8/B7 b - - 2 37,a4c5 a1e5 d6e7 b3c5,2029,"[""advantage"", ""deflection"", ""endgame"", ""master"", ""short""]"
nOsod,6r1/8/1pR1k3/3pPpq1/P3p3/1P2P1r1/5QN1/6K1 b - - 4 36,e6e5 f2b2 d5d4 b2d4,1426,"[""endgame"", ""mate"", ""mateIn2"", ""short""]"
rMOvh,8/p3n1kp/1p3pp1/3p4/1P2nQ2/4PNP1/P4q1P/2R4K w - - 2 30,c1c7 f2f1 f3g1 e4f2 f4f2 f1f2,1228,"[""advantage"", ""endgame"", ""long""]"
YBtUX,8/1q5k/4pRpP/3p4/3P2Q1/1p6/2r3P1/6K1 b - - 2 43,c2c8 g4g6 h7h8 f6f7 b7f7 g6f7,1463,"[""crushing"", ""endgame"", ""long""]"
2AJqg,r4r2/6kR/2p1p3/1p1n4/2nP4/3B4/PpP2PP1/1K5R b - - 7 29,g7f6 h1h6 f6g5 h6g6 g5f4 h7h4,1672,"[""long"", ""mate"", ""mateIn3"", ""middlegame"", ""pillsburysMate""]"
IBBDE,4r1k1/R2Q1pb1/6p1/1P6/P2P4/4P1qP/5nP1/6K1 b - - 6 34,e8e3 d7f7 g8h8 f7g7,1406,"[""endgame"", ""mate"", ""mateIn2"", ""short""]"
gQa1Q,8/8/1p3rkp/p2p2p1/Pn1Pp1P1/1P2P3/5NP1/5RK1 b - - 4 47,b4d3 f2d3 e4d3 f1f6,1110,"[""crushing"", ""discoveredAttack"", ""endgame"", ""short""]"
dX8kj,1r1q1r1k/pp2R2p/3p1N2/P4p2/2P5/3n2P1/1Q3PBP/R5K1 b - - 0 24,d3b2 e7h7,899,"[""arabianMate"", ""kingsideAttack"", ""mate"", ""mateIn1"", ""middlegame"", ""oneMove""]"
bLYQJ,2k2r2/1pp3q1/p1n5/5p2/3PB3/7b/P4PPP/2QR1RK1 w - - 0 24,e4f3 h3g2 c1h6 g7h6,1937,"[""crushing"", ""middlegame"", ""short""]"
wLDO9,r1b1kb1r/ppp1qp1p/2n1p1p1/4P1B1/2p5/2P2Q1N/PPP2PPP/3RK2R b Kkq - 1 10,e7c5 f3c6 b7c6 d1d8,1696,"[""master"", ""mate"", ""mateIn2"", ""middlegame"", ""operaMate"", ""sacrifice"", ""short""]"
rlOMZ,r4rk1/3R1ppp/pq3b2/1p6/5B2/1Q6/PP3PPP/3R2K1 b - - 4 20,a8d8 f4c7 d8d7 c7b6,1843,"[""advantage"", ""fork"", ""master"", ""middlegame"", ""short""]"
aTvpE,r2q1rk1/4bppp/1np1p2B/p7/3P4/1QN2P2/PP3P1P/2KR2R1 b - - 1 15,e7f6 g1g7 f6g7 d1g1 d8h4 h6g7,2256,"[""clearance"", ""crushing"", ""intermezzo"", ""kingsideAttack"", ""long"", ""middlegame"", ""pin"", ""sacrifice""]"
mCA7x,5b2/1p6/p4p1p/P1pk2p1/2N3P1/1PPK3P/5P2/8 b - - 0 35,f8d6 c4d6 d5d6 d3e4,2014,"[""crushing"", ""defensiveMove"", ""endgame"", ""master"", ""short""]"
OZGma,r4r1k/5pp1/p6p/3pB3/3P2nq/2N1R3/PPP2P2/R2Q2K1 w - - 4 22,e3g3 h4h2 g1f1 h2f2,1032,"[""kingsideAttack"", ""mate"", ""mateIn2"", ""middlegame"", ""short""]"
g8g4o,8/p3B3/1p6/4p3/1PP2p2/6k1/P3K1P1/8 w - - 1 40,e7d6 g3g2 d6e5 f4f3 e2d2 f3f2,1921,"[""advancedPawn"", ""bishopEndgame"", ""crushing"", ""endgame"", ""exposedKing"", ""long""]"
m5AZ6,8/k2r4/6Pp/P3p3/KP2B3/8/2P3P1/8 w - - 3 50,b4b5 d7d4 a4a3 d4e4,605,"[""advantage"", ""endgame"", ""fork"", ""short""]"
8n8ZS,8/7p/7P/p3R1k1/Pp1r2p1/1Pn3N1/5PK1/8 b - - 0 36,g5h6 g3f5 h6g6 f5d4,1460,"[""crushing"", ""endgame"", ""fork"", ""master"", ""short""]"
MDzLi,4rrk1/1p5p/1p6/2q2pQ1/2P3p1/1P3bP1/P4R1P/4R1K1 b - - 3 37,g8f7 g5h5 f7g7 e1e8 f8e8 h5e8,1432,"[""advantage"", ""deflection"", ""long"", ""middlegame""]"
XHSff,8/8/3bkp2/p3p2p/2Q4P/5Pq1/8/2B2K2 b - - 9 43,e6f5 c4c8 f5g6 c8g8,1797,"[""crushing"", ""endgame"", ""short""]"
Pmonz,r5k1/p2r1ppp/1pRb1q2/3p4/P2P4/1Q2P2P/1P1B1PP1/R5K1 w - - 1 19,d2b4 d6h2 g1h2 f6c6,1483,"[""advantage"", ""discoveredAttack"", ""middlegame"", ""short""]"
t9Fdc,r3r1k1/pp3pp1/2bR1n1p/8/4PB2/5BP1/PP3P1P/4R1K1 b - - 0 17,f6e4 d6c6 b7c6 e1e4 e8e4 f3e4,2040,"[""crushing"", ""intermezzo"", ""long"", ""middlegame""]"
slkT8,4r1k1/1pp3bp/p2pP1p1/2P5/1P6/1B5P/P5P1/4R1K1 b - - 0 30,d6c5 e6e7 g8h8 b3f7,1257,"[""advancedPawn"", ""clearance"", ""crushing"", ""discoveredAttack"", ""discoveredCheck"", ""endgame"", ""short""]"
8kEOB,5rk1/pp3ppp/1q2p3/8/1PQ5/P4rP1/7P/RNB1RK2 w - - 1 21,f1g2 b6f2 g2h3 f2e1,1164,"[""advantage"", ""fork"", ""middlegame"", ""short""]"
vqAQU,r1bq1k2/pp1nb1r1/2p1Q1BR/8/3P2p1/P1N3P1/1P3PP1/2R1K3 b - - 0 21,d7f6 h6h8 f6g8 h8g8 g7g8 e6f7,1265,"[""exposedKing"", ""long"", ""mate"", ""mateIn3"", ""middlegame"", ""sacrifice""]"
bD01a,5rk1/3R1pp1/1p2p2p/pP1n2Q1/3P4/8/PP3PPq/1KR5 w - - 0 29,g5g4 d5f6 g4f3 f6d7,1478,"[""crushing"", ""endgame"", ""fork"", ""master"", ""short""]"
rf5ff,3r4/p7/2k5/2P4p/1bP1NNn1/1P1K4/P5R1/8 w - - 9 44,d3c2 g4e3 c2b2 e3g2,967,"[""advantage"", ""endgame"", ""fork"", ""master"", ""short""]"
A0asd,6rk/4Qpp1/p6p/np1qNN1P/8/PP6/K1P5/8 b - - 0 34,g8c8 e5f7 d5f7 e7f7,1213,"[""crushing"", ""endgame"", ""master"", ""short""]"
E6Pit,3r1r2/2p2pk1/pp4p1/3P2PN/7P/1P1bR3/P1qB1K2/Q7 b - - 4 29,g7h7 a1g7,1607,"[""mate"", ""mateIn1"", ""middlegame"", ""oneMove""]"
